Id,Response
1,1
3,8
4,8
9,6
12,8
13,8
21,8
28,8
30,5
36,8
38,8
43,8
45,1
48,8
50,6
51,8
54,6
55,8
59,8
62,1
63,8
66,8
69,8
82,8
83,8
84,6
86,8
89,8
90,2
92,6
98,6
100,1
105,3
115,8
119,1
124,1
127,8
133,8
140,4
141,8
143,1
151,1
154,8
157,8
163,3
166,1
168,8
170,7
173,8
180,6
182,8
184,5
185,8
195,8
196,6
197,3
212,5
213,8
219,8
225,2
227,3
232,3
239,5
247,5
251,3
254,4
261,7
264,8
267,8
272,8
275,8
277,1
283,8
284,1
287,8
291,8
293,4
294,1
305,8
307,3
309,8
311,3
322,1
323,1
326,6
330,1
335,8
337,8
338,3
341,1
346,6
348,5
352,1
356,8
358,1
366,7
369,3
373,5
375,1
381,5
384,8
386,5
396,8
397,1
399,7
405,8
412,8
417,1
421,5
425,8
427,8
430,1
432,4
433,8
436,8
438,8
441,8
442,5
444,5
446,8
448,8
450,5
454,8
465,8
470,3
472,3
475,8
484,8
495,8
497,8
498,8
501,2
502,5
505,8
515,1
516,6
527,8
529,1
531,8
533,6
537,1
541,8
546,8
548,5
549,8
550,8
553,8
559,8
561,1
564,1
574,5
578,8
579,8
580,8
582,5
584,8
588,6
596,4
602,2
603,2
613,8
614,1
619,8
620,8
624,4
625,8
628,3
630,6
635,8
636,4
637,8
641,8
644,8
648,8
654,8
658,5
664,8
666,8
667,8
670,8
672,6
674,8
676,8
684,8
685,2
693,1
694,8
700,1
702,7
703,7
705,5
711,8
718,1
722,8
726,5
727,2
732,8
735,8
740,2
748,8
750,8
751,8
756,8
762,6
766,8
770,8
771,1
779,8
782,1
784,8
793,5
798,5
800,6
801,8
805,8
807,1
813,8
819,8
820,6
822,8
823,8
833,8
834,3
842,1
845,8
856,4
860,3
864,1
869,8
872,8
877,3
878,8
893,7
894,8
896,5
899,4
900,8
911,1
914,8
917,1
919,8
923,1
925,6
926,1
934,6
938,8
940,6
955,5
956,8
971,8
973,8
978,8
979,8
981,8
988,8
990,8
992,1
996,8
997,5
999,3
1000,8
1006,8
1009,1
1018,6
1025,3
1038,8
1042,8
1045,4
1046,8
1047,5
1050,5
1052,8
1054,8
1057,8
1061,1
1069,5
1071,6
1073,6
1074,8
1075,4
1083,5
1084,1
1089,3
1099,4
1103,2
1110,8
1123,8
1130,8
1135,7
1137,8
1145,8
1147,3
1152,8
1153,1
1154,8
1158,8
1166,8
1170,8
1172,8
1178,3
1179,8
1181,1
1182,8
1183,8
1191,5
1192,1
1200,1
1205,8
1207,6
1208,1
1209,1
1217,1
1223,8
1225,8
1226,1
1228,1
1230,5
1232,8
1235,8
1237,5
1257,8
1266,1
1267,6
1274,8
1277,8
1278,6
1280,8
1282,8
1293,6
1294,1
1305,8
1306,8
1311,8
1318,4
1320,8
1323,8
1325,1
1328,5
1336,3
1340,8
1341,8
1344,8
1345,8
1348,1
1358,1
1361,8
1364,5
1373,8
1377,3
1378,8
1380,8
1382,6
1383,4
1386,8
1387,1
1390,1
1395,8
1398,6
1402,1
1403,8
1405,8
1407,8
1410,1
1412,1
1419,2
1426,8
1428,8
1436,8
1437,1
1438,2
1441,8
1444,1
1448,1
1454,3
1457,6
1459,8
1463,8
1467,1
1471,6
1475,5
1476,3
1480,8
1481,1
1482,4
1489,3
1491,8
1494,8
1496,8
1500,8
1501,8
1503,8
1504,1
1505,1
1515,2
1517,6
1520,3
1521,1
1523,8
1526,8
1529,7
1530,8
1543,5
1544,8
1547,7
1550,8
1552,7
1554,6
1563,8
1574,6
1575,2
1576,5
1579,5
1582,2
1584,8
1585,8
1589,4
1596,8
1598,1
1611,5
1613,2
1615,8
1618,2
1627,8
1630,1
1638,8
1639,6
1640,8
1642,8
1645,7
1648,8
1654,2
1661,8
1662,8
1663,8
1666,3
1668,1
1670,1
1672,8
1681,5
1682,8
1683,1
1687,8
1688,8
1693,8
1694,8
1700,8
1704,6
1712,8
1716,8
1717,8
1722,3
1724,3
1738,1
1739,1
1740,8
1761,8
1763,8
1765,8
1766,8
1767,8
1771,5
1772,8
1777,8
1784,1
1799,5
1806,6
1810,1
1812,3
1814,1
1818,8
1819,8
1822,3
1823,8
1824,1
1834,4
1835,8
1844,3
1848,7
1849,8
1850,8
1851,1
1856,1
1862,1
1863,7
1872,6
1874,1
1875,8
1877,8
1900,8
1902,5
1904,6
1905,1
1908,8
1914,8
1916,1
1922,1
1933,7
1934,5
1939,8
1942,5
1947,8
1957,8
1971,8
1973,1
1974,6
1977,8
1981,6
1985,8
1987,8
1989,8
2001,1
2002,1
2007,1
2008,8
2011,4
2021,8
2034,8
2040,8
2044,2
2045,8
2048,8
2051,8
2062,8
2066,1
2068,3
2069,1
2074,8
2075,8
2078,8
2079,1
2080,1
2081,3
2084,1
2085,8
2087,8
2096,6
2102,7
2103,6
2107,8
2117,5
2118,1
2120,8
2121,1
2122,1
2130,8
2136,1
2138,8
2140,8
2143,8
2144,3
2145,5
2147,8
2150,1
2154,8
2155,1
2166,3
2169,1
2173,5
2176,1
2178,8
2179,2
2180,8
2184,8
2185,8
2188,5
2190,8
2194,8
2195,8
2198,4
2205,8
2206,8
2207,1
2212,6
2213,8
2216,8
2218,1
2224,8
2225,8
2228,8
2236,6
2242,8
2246,4
2250,8
2255,8
2256,1
2267,5
2268,8
2269,6
2272,6
2275,1
2280,8
2282,8
2287,8
2289,8
2293,8
2296,8
2307,6
2309,7
2313,5
2325,6
2327,8
2336,1
2339,8
2342,8
2347,8
2350,2
2360,6
2364,8
2369,1
2379,2
2394,8
2395,4
2399,8
2402,8
2410,8
2416,8
2420,8
2427,6
2434,8
2435,8
2441,8
2447,5
2452,6
2463,7
2467,4
2468,8
2470,6
2476,8
2483,1
2487,4
2492,8
2502,8
2504,3
2510,8
2511,1
2512,8
2517,8
2520,8
2521,8
2523,8
2524,5
2525,8
2526,3
2528,8
2530,2
2532,1
2536,2
2540,7
2541,6
2543,6
2549,8
2550,1
2556,1
2557,8
2559,8
2565,8
2566,8
2567,1
2568,3
2570,8
2573,8
2577,6
2578,8
2583,1
2586,4
2587,2
2588,8
2591,8
2597,8
2606,8
2607,8
2608,8
2611,1
2612,8
2613,8
2616,8
2621,8
2622,8
2634,8
2639,8
2642,1
2644,6
2650,1
2655,8
2664,8
2667,8
2670,3
2679,1
2681,8
2683,8
2685,8
2687,8
2696,3
2699,8
2712,1
2716,8
2720,8
2725,8
2726,8
2731,6
2733,8
2740,8
2742,8
2748,3
2749,8
2763,8
2771,8
2772,3
2773,6
2783,8
2784,8
2789,1
2796,3
2798,4
2799,8
2800,5
2802,8
2805,5
2809,6
2816,8
2817,6
2821,8
2822,8
2829,8
2832,1
2842,5
2844,5
2846,6
2851,6
2852,5
2853,8
2856,8
2862,1
2866,6
2868,3
2886,8
2892,6
2893,1
2898,8
2917,1
2923,1
2927,6
2930,8
2931,1
2935,8
2936,3
2961,1
2964,8
2967,8
2968,8
2970,8
2977,3
2978,8
2979,8
2985,3
2986,1
2989,8
2997,1
2999,8
3004,8
3008,8
3010,3
3020,8
3022,8
3024,8
3027,8
3032,8
3033,8
3048,1
3053,7
3056,8
3070,8
3071,1
3073,8
3080,8
3098,8
3099,2
3109,8
3110,8
3115,1
3121,8
3128,8
3132,1
3133,1
3141,8
3144,5
3145,3
3154,8
3159,8
3164,1
3168,1
3172,1
3176,6
3186,8
3193,3
3196,8
3199,1
